,goout,Walc,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,romantic_no,romantic_yes,sex_F,sex_M
106,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
107,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
108,5,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
109,5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
110,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
111,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
112,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
113,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
114,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
115,4,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
116,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
117,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
118,4,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
119,3,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
120,3,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
121,4,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
122,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
123,4,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
124,4,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
125,5,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
126,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
127,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
128,5,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
129,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
130,2,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
131,5,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
132,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
133,3,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
134,4,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
135,1,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
136,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
137,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
138,3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
139,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
140,5,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
141,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
142,4,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
143,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
144,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
145,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
146,4,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
147,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
148,5,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
149,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
150,2,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
151,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
152,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
153,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
154,4,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
155,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
156,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
157,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
158,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
159,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
160,4,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
161,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
162,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
163,5,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
164,4,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
165,1,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
166,4,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
167,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
168,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
169,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
170,5,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
171,2,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
172,5,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
173,5,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
174,2,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
175,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
176,4,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
177,3,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
178,5,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
179,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
180,5,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
181,3,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
182,5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
183,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
184,5,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
185,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
186,4,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
187,5,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
188,5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
189,4,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
190,4,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
191,4,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
192,3,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
193,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
194,3,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
195,3,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
196,2,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
197,3,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
198,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
199,4,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
200,3,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
201,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
202,3,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
203,3,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
204,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
205,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
206,4,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
207,2,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
208,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
209,2,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
210,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
211,4,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
212,4,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
213,2,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
214,5,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
215,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
216,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
217,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
218,5,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
219,3,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
220,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
221,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
222,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
223,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
224,3,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
225,5,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
226,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
227,4,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
228,1,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
229,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
230,5,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
231,4,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
232,3,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
233,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
234,5,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
235,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
236,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
237,3,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
238,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
239,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
240,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
241,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
242,2,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
243,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
244,3,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
245,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
246,5,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
247,4,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
248,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
249,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
250,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
251,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
252,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
253,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
254,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
255,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
256,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
257,1,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
258,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
259,2,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
260,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
261,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
262,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
263,4,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
264,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
265,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
266,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
267,5,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
268,3,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
269,5,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
270,2,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
271,1,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
272,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
273,2,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
274,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
275,4,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
276,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
277,4,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
278,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
279,5,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
280,3,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
281,2,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
282,5,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
283,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
284,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
285,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
286,2,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
287,4,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
288,4,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
289,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
290,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
291,5,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
292,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
293,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
294,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
295,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
296,4,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
297,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
298,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
299,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
300,2,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
301,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
302,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
303,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
304,3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
305,4,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
306,5,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
307,4,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
308,4,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
309,5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
310,5,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
311,5,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
312,5,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
313,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
314,2,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
315,5,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
316,3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
317,4,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
318,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
319,4,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
320,4,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
321,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
322,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
323,3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
324,4,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
325,4,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
326,4,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
327,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
328,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
329,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
